"","mean","MCSE","q10","q50","q90","ESS","Rhat"
"pi[1]",0.666816810334556,0.234779619927287,0.15794773375383,0.70567685521488,0.987629299865791,24034.9442923458,0.999867991176862
"pi[2]",0.333183189665444,0.234779619927287,0.0123707001342088,0.29432314478512,0.84205226624617,24034.9442923459,0.999867991176862
"A[1,1]",0.904387474586647,0.0333856784746972,0.827009515298257,0.909251699325758,0.956328581440737,13205.0599575983,1.00041686166558
"A[1,2]",0.0956125254133527,0.0333856784746972,0.0436714185592625,0.0907483006742418,0.172990484701743,13205.0599575984,1.00041686166558
"A[2,1]",0.0329399746223656,0.00992762489400052,0.0166188233398369,0.0318849214848465,0.0552333745807431,16842.7281446917,0.99995951040748
"A[2,2]",0.967060025377634,0.00992762489400052,0.944766625419257,0.968115078515154,0.983381176660163,16842.7281446912,0.99995951040748
"mu11",-0.00138050226172188,0.00196522276286741,-0.00535106840702763,-0.00135547984419968,0.00234673440976212,19893.6640692437,0.999934247978142
"sigma11",0.0326618825184098,0.00217070277409138,0.0290079843153304,0.0324313580613751,0.0375329954103762,11964.7328550352,1.00058454733408
"mu21",0.00220259425813909,0.000494256325554501,0.00123148524494257,0.00220192552280425,0.00316582087358228,32431.45362929,0.999905566246324
"sigma21",0.0133444270012906,0.000566695658283738,0.012304492490369,0.0133188931887888,0.0145276952664383,13866.9042118334,1.00040937976399
"loglike[1,1]",-2.58994289407589,0.640527168212237,-3.8536693401381,-2.5901506522685,-1.3388755757449,12513.4048814657,1.00042013665772
"loglike[1,2]",1.61916533784033,0.0866422914571382,1.44224544269789,1.62194606210988,1.78313795489689,23886.0231645656,1.00025448949408
"loglike[1,3]",2.50263196672638,0.065538438686418,2.36146741661471,2.50745816518979,2.61892511700463,12087.3970581672,1.00060653497691
"loglike[1,4]",2.30873431423405,0.058749337414163,2.18292743000146,2.31258060798379,2.41410058797192,12766.943631157,1.00013210241717
"loglike[1,5]",2.34601795059477,0.0600256477626328,2.21675877259716,2.3501328310549,2.45410522695451,12315.7028397142,1.0002001744556
"loglike[1,6]",2.49323053956841,0.0661628263958351,2.35125629694374,2.49846523461543,2.61023579819033,11739.610512994,1.00053046552967
"loglike[1,7]",2.46853643717639,0.0612444617500179,2.33675240803362,2.47301601741546,2.5775488461478,13120.1710656983,1.00066728725506
"loglike[1,8]",2.41252627980172,0.0566093614283013,2.29138665349251,2.41589385102993,2.51290122100252,14554.5419839578,1.00065581319344
"loglike[1,9]",2.28139957262517,0.0579744784438335,2.15753399285592,2.28503695307854,2.38551455206722,13178.91535279,1.00008555828036
"loglike[1,10]",2.41663434850289,0.0629843690182125,2.28057146644929,2.42129150295078,2.52908196016444,11775.7834673874,1.00034021835603
"loglike[1,11]",2.47793928413928,0.065696926210679,2.33655742105254,2.4828992694907,2.59383866895371,11660.8664112417,1.00048203831984
"loglike[1,12]",2.476396403326,0.0656378776913701,2.33494568948855,2.48133662810943,2.5921598347588,11657.4282125683,1.0004777978706
"loglike[1,13]",2.28649439302469,0.0506937868882813,2.18025060228178,2.28850251054744,2.37859172053812,19166.8206104271,1.0004643485852
"loglike[1,14]",2.48925134531762,0.0660723355109917,2.34744816270145,2.49438674879881,2.60587884385048,11708.2862683526,1.00051625304562
"loglike[1,15]",2.48224816726773,0.0626506935550545,2.34750133362632,2.48657331333631,2.59375008707025,12789.6459224244,1.00065836449546
"loglike[1,16]",1.95599447016808,0.0617789370046003,1.82928371470148,1.95756144201383,2.07079797552439,21747.9669303856,0.999942464280875
"loglike[1,17]",2.4729852409286,0.061683362487229,2.34060119765661,2.47736730668615,2.58262518698443,13013.8929935818,1.00066517751667
"loglike[1,18]",2.46392353814017,0.060803694751692,2.33306543035797,2.46825741370363,2.57217570418321,13230.3905795433,1.0006688406853
"loglike[1,19]",0.343503191210182,0.229910785361449,-0.115845282140682,0.347028934300421,0.78444037107741,16900.6161565005,1.00061851986102
"loglike[1,20]",2.46853227145599,0.0653199260986609,2.32749697120213,2.4732570661144,2.58413234600793,11647.5627477729,1.00045717090186
"loglike[1,21]",2.50141823915095,0.0661138928898724,2.35942892018851,2.50665109398477,2.61883307100691,11880.9099093781,1.00057166796424
"loglike[1,22]",2.09394008447369,0.0571331635715101,1.97563636121547,2.0958254476837,2.19892254190147,17588.171947867,0.999899854014108
"loglike[1,23]",2.34384257186228,0.0599448163515336,2.21473102958755,2.34792583928875,2.45193855844255,12338.7137341974,1.00019608010196
"loglike[1,24]",2.501645383061,0.0660975844134992,2.35971706777123,2.50686334011547,2.61908076924384,11889.6662283797,1.00057356731494
"loglike[1,25]",2.35301221670824,0.0530628550780523,2.2400332701104,2.35592784430038,2.44791886954061,16479.2682927894,1.00058934256352
"loglike[1,26]",2.50153204260081,0.0652397962040372,2.36094138289993,2.50632128924209,2.61743581022768,12169.9045774606,1.00061648726044
"loglike[1,27]",2.49372043286638,0.0640080887034206,2.356388741439,2.49831368628885,2.60701610047002,12476.5881836185,1.00064244520922
