bull_threshold,bear_threshold,ROI,NumberOfTrades
0.55,0.8,63.00054197,11
0.55,0.85,63.00054197,11
0.95,0.5,60.37968828,7
0.95,0.55,60.37968828,7
0.95,0.6,60.37968828,7
0.6,0.8,59.22630126,11
0.6,0.85,59.22630126,11
0.65,0.8,56.2680789,11
0.65,0.85,56.2680789,11
0.55,0.9,54.16700774,11
0.95,0.8,52.0757516,5
0.95,0.85,52.0757516,5
0.95,0.9,52.0757516,5
0.95,0.65,50.79337119,7
0.95,0.7,50.79337119,7
0.95,0.75,50.79337119,7
0.6,0.9,50.59730552,11
0.65,0.9,47.79939894,11
0.95,0.95,45.80854954,3
0.55,0.95,45.59758797,7
0.5,0.8,44.62894494,13
0.5,0.85,44.62894494,13
0.55,0.65,44.39529252,15
0.55,0.7,44.39529252,15
0.55,0.75,44.39529252,15
0.6,0.95,42.22630873,7
0.55,0.5,41.49668397,19
0.55,0.55,41.23924559,17
0.55,0.6,41.23924559,17
0.6,0.65,41.05185216,15
0.6,0.7,41.05185216,15
0.6,0.75,41.05185216,15
0.5,0.95,39.90917664,7
0.65,0.95,39.58392463,7
0.65,0.65,38.43128797,15
0.65,0.7,38.43128797,15
0.65,0.75,38.43128797,15
0.75,0.65,38.36564831,13
0.75,0.7,38.36564831,13
0.75,0.75,38.36564831,13
0.6,0.5,38.22036024,19
0.6,0.55,37.96888278,17
0.6,0.6,37.96888278,17
0.7,0.8,36.94739879,11
0.75,0.8,36.94739879,11
0.7,0.85,36.94739879,11
0.75,0.85,36.94739879,11
0.5,0.9,36.79102784,13
0.85,0.55,36.10301079,13
0.85,0.6,36.10301079,13
0.5,0.5,35.94666307,23
0.8,0.65,35.74075237,13
0.8,0.7,35.74075237,13
0.8,0.75,35.74075237,13
0.65,0.5,35.65240157,19
0.7,0.65,35.57303586,13
0.7,0.7,35.57303586,13
0.7,0.75,35.57303586,13
0.9,0.55,35.48487903,13
0.9,0.6,35.48487903,13
0.65,0.55,35.40559625,17
0.65,0.6,35.40559625,17
0.75,0.55,35.34139128,15
0.75,0.6,35.34139128,15
0.85,0.5,34.61472096,15
0.8,0.8,34.34940806,11
0.8,0.85,34.34940806,11
0.75,0.5,33.86142978,17
0.9,0.5,33.10060079,15
0.5,0.55,33.09515516,19
0.5,0.6,33.09515516,19
0.7,0.5,32.85152636,17
0.8,0.55,32.77386767,15
0.8,0.6,32.77386767,15
0.7,0.55,32.60981694,15
0.7,0.6,32.60981694,15
0.8,0.5,31.3219821,17
0.85,0.65,29.73124991,11
0.85,0.7,29.73124991,11
0.85,0.75,29.73124991,11
0.5,0.65,29.69950133,17
0.5,0.7,29.69950133,17
0.7,0.9,29.52576988,11
0.75,0.9,29.52576988,11
0.9,0.8,29.44025827,9
0.9,0.85,29.44025827,9
0.9,0.9,29.44025827,9
0.9,0.65,29.14205644,11
0.9,0.7,29.14205644,11
0.9,0.75,29.14205644,11
0.5,0.75,28.70133667,17
0.85,0.8,28.40150307,9
0.85,0.85,28.40150307,9
0.85,0.9,28.40150307,9
0.8,0.9,27.06857279,11
0.7,0.95,26.09697179,7
0.75,0.95,26.09697179,7
0.9,0.95,26.01372383,5
0.85,0.95,25.0024665,5
0.8,0.95,23.70482146,7
