"","bull_threshold","bear_threshold","confirmation_period","ROI","NumberOfTrades"
"1",0.5,0.5,1,35.9466630685683,23
"2",0.55,0.5,1,41.4966839710742,19
"3",0.6,0.5,1,38.2203602356241,19
"4",0.65,0.5,1,35.6524015707949,19
"5",0.7,0.5,1,32.8515263613163,17
"6",0.75,0.5,1,33.8614297766851,17
"7",0.8,0.5,1,31.3219820961558,17
"8",0.85,0.5,1,34.6147209602167,15
"9",0.9,0.5,1,33.1006007868105,15
"10",0.95,0.5,1,60.3796882760001,7
"11",0.5,0.55,1,33.0951551598296,19
"12",0.55,0.55,1,41.2392455924215,17
"13",0.6,0.55,1,37.9688827844414,17
"14",0.65,0.55,1,35.4055962511177,17
"15",0.7,0.55,1,32.6098169403733,15
"16",0.75,0.55,1,35.341391282073,15
"17",0.8,0.55,1,32.7738676664637,15
"18",0.85,0.55,1,36.1030107940545,13
"19",0.9,0.55,1,35.4848790341698,13
"20",0.95,0.55,1,60.3796882760001,7
"21",0.5,0.6,1,33.0951551598296,19
"22",0.55,0.6,1,41.2392455924215,17
"23",0.6,0.6,1,37.9688827844414,17
"24",0.65,0.6,1,35.4055962511177,17
"25",0.7,0.6,1,32.6098169403733,15
"26",0.75,0.6,1,35.341391282073,15
"27",0.8,0.6,1,32.7738676664637,15
"28",0.85,0.6,1,36.1030107940545,13
"29",0.9,0.6,1,35.4848790341698,13
"30",0.95,0.6,1,60.3796882760001,7
"31",0.5,0.65,1,29.6995013316829,17
"32",0.55,0.65,1,44.3952925169536,15
"33",0.6,0.65,1,41.051852155784,15
"34",0.65,0.65,1,38.4312879688857,15
"35",0.7,0.65,1,35.573035861304,13
"36",0.75,0.65,1,38.3656483143592,13
"37",0.8,0.65,1,35.7407523658922,13
"38",0.85,0.65,1,29.7312499124291,11
"39",0.9,0.65,1,29.1420564379235,11
"40",0.95,0.65,1,50.7933711853543,7
"41",0.5,0.7,1,29.6995013316829,17
"42",0.55,0.7,1,44.3952925169536,15
"43",0.6,0.7,1,41.051852155784,15
"44",0.65,0.7,1,38.4312879688857,15
"45",0.7,0.7,1,35.573035861304,13
"46",0.75,0.7,1,38.3656483143592,13
"47",0.8,0.7,1,35.7407523658922,13
"48",0.85,0.7,1,29.7312499124291,11
"49",0.9,0.7,1,29.1420564379235,11
"50",0.95,0.7,1,50.7933711853543,7
"51",0.5,0.75,1,28.7013366720314,17
"52",0.55,0.75,1,44.3952925169536,15
"53",0.6,0.75,1,41.051852155784,15
"54",0.65,0.75,1,38.4312879688857,15
"55",0.7,0.75,1,35.573035861304,13
"56",0.75,0.75,1,38.3656483143592,13
"57",0.8,0.75,1,35.7407523658922,13
"58",0.85,0.75,1,29.7312499124291,11
"59",0.9,0.75,1,29.1420564379235,11
"60",0.95,0.75,1,50.7933711853543,7
"61",0.5,0.8,1,44.6289449376696,13
"62",0.55,0.8,1,63.0005419653784,11
"63",0.6,0.8,1,59.2263012584967,11
"64",0.65,0.8,1,56.268078900456,11
"65",0.7,0.8,1,36.9473987901269,11
"66",0.75,0.8,1,36.9473987901269,11
"67",0.8,0.8,1,34.3494080560351,11
"68",0.85,0.8,1,28.4015030734713,9
"69",0.9,0.8,1,29.4402582671639,9
"70",0.95,0.8,1,52.0757515988044,5
"71",0.5,0.85,1,44.6289449376696,13
"72",0.55,0.85,1,63.0005419653784,11
"73",0.6,0.85,1,59.2263012584967,11
"74",0.65,0.85,1,56.268078900456,11
"75",0.7,0.85,1,36.9473987901269,11
"76",0.75,0.85,1,36.9473987901269,11
"77",0.8,0.85,1,34.3494080560351,11
"78",0.85,0.85,1,28.4015030734713,9
"79",0.9,0.85,1,29.4402582671639,9
"80",0.95,0.85,1,52.0757515988044,5
"81",0.5,0.9,1,36.7910278381696,13
"82",0.55,0.9,1,54.1670077399243,11
"83",0.6,0.9,1,50.5973055214265,11
"84",0.65,0.9,1,47.7993989398315,11
"85",0.7,0.9,1,29.5257698819455,11
"86",0.75,0.9,1,29.5257698819455,11
"87",0.8,0.9,1,27.0685727905638,11
"88",0.85,0.9,1,28.4015030734713,9
"89",0.9,0.9,1,29.4402582671639,9
"90",0.95,0.9,1,52.0757515988044,5
"91",0.5,0.95,1,39.9091766385545,7
"92",0.55,0.95,1,45.597587972351,7
"93",0.6,0.95,1,42.2263087316614,7
"94",0.65,0.95,1,39.5839246338951,7
"95",0.7,0.95,1,26.0969717871237,7
"96",0.75,0.95,1,26.0969717871237,7
"97",0.8,0.95,1,23.7048214637574,7
"98",0.85,0.95,1,25.0024664994224,5
"99",0.9,0.95,1,26.0137238304706,5
"100",0.95,0.95,1,45.8085495406459,3
"101",0.5,0.5,2,25.8577319085916,13
"102",0.55,0.5,2,25.8577319085916,13
"103",0.6,0.5,2,25.8577319085916,13
"104",0.65,0.5,2,35.190434312953,11
"105",0.7,0.5,2,27.1831764858965,11
"106",0.75,0.5,2,27.1831764858965,11
"107",0.8,0.5,2,25.3383748795428,9
"108",0.85,0.5,2,37.8368315519183,7
"109",0.9,0.5,2,54.8064233326331,5
"110",0.95,0.5,2,34.8106223798448,5
"111",0.5,0.55,2,27.4564852005543,11
"112",0.55,0.55,2,27.4564852005543,11
"113",0.6,0.55,2,27.4564852005543,11
"114",0.65,0.55,2,26.2436325565099,11
"115",0.7,0.55,2,18.7662890592319,11
"116",0.75,0.55,2,18.7662890592319,11
"117",0.8,0.55,2,17.0435750424025,9
"118",0.85,0.55,2,28.7148932069573,7
"119",0.9,0.55,2,44.5614501049055,5
"120",0.95,0.55,2,25.8889562928558,5
