,mean,MCSE,q10,q50,q90,ESS,Rhat
pi[1],0.471894764,0.286933477,0.023440272,0.457356513,0.968989816,22130.36104,1.000119798
pi[2],0.528105236,0.286933477,0.031010184,0.542643487,0.976559728,22130.36104,1.000119798
"A[1,1]",0.90252161,0.036320983,0.818096445,0.906955292,0.959968965,11623.39692,1.000164445
"A[1,2]",0.09747839,0.036320983,0.040031035,0.093044708,0.181903555,11623.39692,1.000164445
"A[2,1]",0.202894275,0.065691879,0.094707851,0.195842322,0.352956116,14725.72616,1.000241856
"A[2,2]",0.797105725,0.065691879,0.647043884,0.804157678,0.905292149,14725.72616,1.000241856
mu11,0.002393947,0.00109705,0.000246402,0.002381901,0.004563528,20478.70011,1.000118968
sigma11,0.025570336,0.001846285,0.021944279,0.025585232,0.029068149,11856.88371,1.000113173
mu21,0.001146223,0.003455598,-0.005687984,0.001143721,0.008038526,17918.04983,1.000061448
sigma21,0.061781452,0.004293507,0.05439473,0.061436157,0.071103758,13696.56985,1.000080188
"loglike[1,1]",1.829878946,0.094220144,1.607667873,1.843540208,1.976780241,13193.59606,0.999894725
"loglike[1,2]",0.510237457,0.263778759,-0.089218108,0.542222044,0.930042666,13045.41725,1.000184396
"loglike[1,3]",0.766012779,0.227125975,0.247444976,0.793955114,1.127489456,13245.76636,1.000196913
"loglike[1,4]",2.747858064,0.072179117,2.61762539,2.744579784,2.896287498,11892.45877,1.000100375
"loglike[1,5]",2.710772138,0.069732697,2.584542134,2.707111823,2.854916594,11727.29975,1.000038548
"loglike[1,6]",2.539373497,0.053627517,2.440146625,2.537155269,2.649945684,12629.0101,0.999996862
"loglike[1,7]",2.7353734,0.071998021,2.60544343,2.731734245,2.883364671,11734.80413,1.00005814
"loglike[1,8]",1.496326265,0.142152102,1.161647981,1.517116208,1.716590038,12354.62863,0.999906437
"loglike[1,9]",2.176889817,0.047189304,2.07944605,2.178308745,2.265534951,21153.49357,1.000289248
"loglike[1,10]",2.745054095,0.07270327,2.614186657,2.741726344,2.895139986,11769.86349,1.000072249
"loglike[1,11]",2.747925864,0.072793958,2.616892564,2.74467808,2.897884798,11798.51905,1.000080329
"loglike[1,12]",-12.77512464,2.285098598,-17.95399359,-12.48833565,-9.119390672,11683.8857,1.00001268
"loglike[1,13]",2.606869552,0.053611146,2.507116831,2.605547134,2.714540536,13705.92136,1.000252036
"loglike[1,14]",1.439271116,0.150538893,1.084296836,1.461377563,1.672453467,12282.77327,0.999909215
"loglike[1,15]",2.65296445,0.064036604,2.536566989,2.649315211,2.785430814,11855.20688,1.000012805
"loglike[1,16]",2.540703275,0.053737021,2.44126769,2.538402895,2.651521206,12614.56959,0.999996776
"loglike[1,17]",2.732341015,0.069475841,2.607070707,2.729269013,2.874376338,12097.27693,1.000131687
"loglike[1,18]",2.747920352,0.072793999,2.616887323,2.744675044,2.897893936,11798.43112,1.000080306
"loglike[1,19]",1.802638301,0.084635089,1.609354494,1.812987893,1.939769379,16461.21416,1.000309549
"loglike[1,20]",2.698091443,0.064616338,2.580224165,2.695909131,2.828799231,12451.13562,1.000170629
"loglike[1,21]",2.589150721,0.057958807,2.482703208,2.58643709,2.709000913,12187.05075,0.999998453
"loglike[1,22]",2.749033046,0.072570863,2.618252764,2.745822296,2.898085076,11849.1775,1.000091938
"loglike[1,23]",2.291667043,0.043207928,2.208159223,2.290965548,2.378834396,18941.76502,1.000176692
"loglike[1,24]",2.565946496,0.049473076,2.473260441,2.564735728,2.665806354,14557.31641,1.000283025
"loglike[1,25]",1.876817253,0.087743241,1.669895428,1.889249181,2.014046436,13425.6918,0.999895496
"loglike[1,26]",2.699435094,0.064796756,2.581337213,2.697250207,2.830561994,12436.89034,1.000169283
"loglike[1,27]",2.42748551,0.046089909,2.341740492,2.425816773,2.52286895,14564.12991,1.000037346
"loglike[1,28]",2.723702837,0.068184971,2.600155507,2.72085643,2.862190939,12187.19819,1.000142876
"loglike[1,29]",2.59329892,0.052178778,2.495763436,2.592067391,2.69836921,13962.86834,1.000262846
"loglike[1,30]",2.529836915,0.046315711,2.441976595,2.528375826,2.623573347,15520.595,1.000304639
"loglike[1,31]",2.65467126,0.064204358,2.537960817,2.651039958,2.787372052,11849.20551,1.000013365
"loglike[1,32]",2.675682685,0.06169339,2.562710475,2.673852038,2.800151069,12701.27687,1.000192138
"loglike[1,33]",2.626792698,0.055814147,2.523384523,2.625468332,2.739457917,13368.4852,1.000235479
"loglike[1,34]",1.469324601,0.146116994,1.125825628,1.490675771,1.695541858,12319.16676,0.999907753
"loglike[1,35]",2.679513862,0.066659433,2.558540243,2.6760028,2.81690566,11776.93462,1.000022684
"loglike[1,36]",2.650464102,0.063791177,2.534395854,2.646890642,2.782388677,11864.24403,1.000012003
"loglike[1,37]",2.725852769,0.068500438,2.601912353,2.722898639,2.864980053,12165.13859,1.000140232
"loglike[1,38]",0.590490162,0.252254863,0.016042162,0.621670939,0.991998008,13101.33243,1.000188004
"loglike[1,39]",2.601481319,0.059095692,2.493299755,2.598471458,2.723697761,12104.99984,1.000000225
"loglike[1,40]",-2.746618809,0.779715769,-4.529266913,-2.643151929,-1.507239796,11680.70401,0.999985272
"loglike[1,41]",1.801110887,0.098237647,1.569547691,1.815251186,1.953855022,13073.04061,0.999894825
"loglike[1,42]",1.860700937,0.089955124,1.648639007,1.873491833,2.001145276,13340.47873,0.999895078
"loglike[1,43]",2.739547953,0.070620446,2.612011277,2.7362788,2.884387232,12016.56708,1.000120548
"loglike[1,44]",2.748049637,0.072227633,2.617631619,2.744772565,2.896425696,11887.74823,1.000099504
"loglike[1,45]",2.282127224,0.043318791,2.198045938,2.281473498,2.369180919,19252.47964,1.000187904
"loglike[1,46]",2.40101769,0.044909795,2.317413744,2.399354486,2.493987283,15273.67511,1.000057934
"loglike[1,47]",2.106957413,0.05845063,1.971691566,2.11353436,2.204486719,15802.8605,0.999942383
"loglike[1,48]",2.520446109,0.052111507,2.424547868,2.518402833,2.62798685,12852.69572,0.999998956
"loglike[1,49]",2.748240862,0.072788286,2.617238164,2.745098251,2.898392598,11804.05005,1.000081728
"loglike[1,50]",0.497820767,0.291188992,-0.174275898,0.540317052,0.954248956,11831.60251,0.999944128
"loglike[1,51]",2.293307319,0.042271551,2.205970459,2.294569887,2.373521231,20425.99157,1.000133906
"loglike[1,52]",2.672296425,0.061264778,2.55983561,2.670487075,2.796044734,12741.53999,1.000195271
"loglike[1,53]",2.430665298,0.046249561,2.344458829,2.429006029,2.526401266,14485.90856,1.000035167
"loglike[1,54]",2.748472636,0.072344914,2.617801577,2.745233872,2.89703029,11875.80454,1.000097248
"loglike[1,55]",1.646851343,0.120226516,1.362886957,1.665000364,1.832731084,12616.35777,0.999899411
"loglike[1,56]",2.495203148,0.043799609,2.412390497,2.493854244,2.583799475,16646.76198,1.00031691
"loglike[1,57]",2.247138771,0.044080984,2.159657579,2.247145092,2.333565419,20238.81037,1.000227137
"loglike[1,58]",2.316023638,0.043116471,2.23322979,2.314886316,2.403946575,18102.77766,1.000147788
"loglike[1,59]",2.650220367,0.063767274,2.53417429,2.646663865,2.782119145,11865.14066,1.000011926
"loglike[1,60]",2.745895245,0.072744063,2.61507515,2.742598018,2.896140185,11776.0821,1.000074149
"loglike[1,61]",2.033659731,0.058575446,1.903633739,2.038595788,2.134605705,19577.09473,1.000335883
"loglike[1,62]",2.599079244,0.052781909,2.500799653,2.597764619,2.705374647,13850.55607,1.000258295
"loglike[1,63]",2.494118294,0.050147537,2.401901878,2.492131489,2.597877735,13225.96129,1.000004793
"loglike[1,64]",-3.316732117,0.86548775,-5.296578391,-3.203946713,-1.938800683,11677.42104,0.999988623
"loglike[1,65]",2.299893677,0.04314619,2.216786866,2.299059532,2.387347254,18664.20669,1.000166943
"loglike[1,66]",2.688380822,0.063330518,2.572512669,2.68633819,2.815881824,12556.37543,1.000180142
"loglike[1,67]",2.724011841,0.06823011,2.6004164,2.721166591,2.86257669,12184.0353,1.000142501
"loglike[1,68]",2.650553137,0.06379991,2.534465847,2.646973347,2.782486094,11863.91719,1.000012031
"loglike[1,69]",2.02710137,0.067970058,1.868420715,2.035562502,2.137143366,14641.36253,0.999913192
"loglike[1,70]",2.728846451,0.06894568,2.604148143,2.725858625,2.869472268,12134.13733,1.00013641
"loglike[1,71]",2.706989786,0.0658235,2.587245434,2.704644616,2.840554583,12357.95971,1.000161543
"loglike[1,72]",2.321821055,0.043135332,2.239192204,2.320643445,2.410114566,17897.84387,1.000140944
