"bull_threshold","bear_threshold","ROI","NumberOfTrades"
0.5,0.5,31.6833420104029,15
0.55,0.5,31.6833420104029,15
0.6,0.5,32.7070801483587,15
0.65,0.5,30.9750929333831,15
0.7,0.5,33.4346365465478,13
0.75,0.5,33.4346365465478,13
0.8,0.5,29.0610766005346,13
0.85,0.5,27.3092276385163,12
0.9,0.5,27.4557935706976,12
0.95,0.5,17.5141543991645,10
0.5,0.55,32.5979786815532,13
0.55,0.55,32.5979786815532,13
0.6,0.55,33.6288274261228,13
0.65,0.55,33.4092033350504,13
0.7,0.55,35.9144564076098,11
0.75,0.55,35.9144564076098,11
0.8,0.55,31.4596159103218,11
0.85,0.55,29.7230084743648,10
0.9,0.55,29.8723532941794,10
0.95,0.55,19.8966408372047,8
0.5,0.6,33.3541422062814,11
0.55,0.6,33.3541422062814,11
0.6,0.6,34.3908695489103,11
0.65,0.6,34.3908695489103,11
0.7,0.6,36.9145570490581,9
0.75,0.6,36.9145570490581,9
0.8,0.6,37.6746852439837,9
0.85,0.6,35.8559755171818,8
0.9,0.6,35.1284105628308,8
0.95,0.6,25.5209296383122,6
0.5,0.65,33.47167871438,9
0.55,0.65,33.47167871438,9
0.6,0.65,34.5600823693653,9
0.65,0.65,34.5600823693653,9
0.7,0.65,37.0869474684175,7
0.75,0.65,37.0869474684175,7
0.8,0.65,34.9184242215077,7
0.85,0.65,33.9230004135024,6
0.9,0.65,33.2057873405296,6
0.95,0.65,25.5209296383122,6
0.5,0.7,31.7075169346638,7
0.55,0.7,31.7075169346638,7
0.6,0.7,32.7815346154295,7
0.65,0.7,32.7815346154295,7
0.7,0.7,35.275000877566,5
0.75,0.7,35.275000877566,5
0.8,0.7,33.1351400845001,5
0.85,0.7,32.1528732896801,4
0.9,0.7,31.8037917500415,4
0.95,0.7,31.4812878282521,4
0.5,0.75,31.7075169346638,7
0.55,0.75,31.7075169346638,7
0.6,0.75,32.7815346154295,7
0.65,0.75,32.7815346154295,7
0.7,0.75,35.275000877566,5
0.75,0.75,35.275000877566,5
0.8,0.75,33.1351400845001,5
0.85,0.75,32.1528732896801,4
0.9,0.75,31.8037917500415,4
0.95,0.75,31.4812878282521,4
0.5,0.8,33.3115354361505,5
0.55,0.8,33.3115354361505,5
0.6,0.8,34.3986331921539,5
0.65,0.8,34.3986331921539,5
0.7,0.8,31.5878226002821,5
0.75,0.8,31.5878226002821,5
0.8,0.8,29.5062877963599,5
0.85,0.8,28.5507945573696,4
0.9,0.8,28.2112279012025,4
0.95,0.8,27.8975144391954,4
0.5,0.85,33.3115354361505,5
0.55,0.85,33.3115354361505,5
0.6,0.85,34.3986331921539,5
0.65,0.85,34.3986331921539,5
0.7,0.85,31.5878226002821,5
0.75,0.85,31.5878226002821,5
0.8,0.85,29.5062877963599,5
0.85,0.85,28.5507945573696,4
0.9,0.85,28.2112279012025,4
0.95,0.85,27.8975144391954,4
0.5,0.9,33.3115354361505,5
0.55,0.9,33.3115354361505,5
0.6,0.9,34.3986331921539,5
0.65,0.9,34.3986331921539,5
0.7,0.9,31.5878226002821,5
0.75,0.9,31.5878226002821,5
0.8,0.9,29.5062877963599,5
0.85,0.9,28.5507945573696,4
0.9,0.9,28.2112279012025,4
0.95,0.9,27.8975144391954,4
0.5,0.95,34.9248454022579,3
0.55,0.95,34.9248454022579,3
0.6,0.95,34.9248454022579,3
0.65,0.95,34.9248454022579,3
0.7,0.95,32.1030296177097,3
0.75,0.95,32.1030296177097,3
0.8,0.95,30.0133449613406,3
0.85,0.95,29.0541106708449,3
0.9,0.95,28.7132145062121,3
0.95,0.95,28.398272758989,3
