"","bull_threshold","bear_threshold","confirmation_period","ROI","NumberOfTrades"
"1",0.5,0.5,1,31.6833420104029,15
"2",0.55,0.5,1,31.6833420104029,15
"3",0.6,0.5,1,32.7070801483587,15
"4",0.65,0.5,1,30.9750929333831,15
"5",0.7,0.5,1,33.4346365465478,13
"6",0.75,0.5,1,33.4346365465478,13
"7",0.8,0.5,1,29.0610766005346,13
"8",0.85,0.5,1,27.3092276385163,12
"9",0.9,0.5,1,27.4557935706976,12
"10",0.95,0.5,1,17.5141543991645,10
"11",0.5,0.55,1,32.5979786815532,13
"12",0.55,0.55,1,32.5979786815532,13
"13",0.6,0.55,1,33.6288274261228,13
"14",0.65,0.55,1,33.4092033350504,13
"15",0.7,0.55,1,35.9144564076098,11
"16",0.75,0.55,1,35.9144564076098,11
"17",0.8,0.55,1,31.4596159103218,11
"18",0.85,0.55,1,29.7230084743648,10
"19",0.9,0.55,1,29.8723532941794,10
"20",0.95,0.55,1,19.8966408372047,8
"21",0.5,0.6,1,33.3541422062814,11
"22",0.55,0.6,1,33.3541422062814,11
"23",0.6,0.6,1,34.3908695489103,11
"24",0.65,0.6,1,34.3908695489103,11
"25",0.7,0.6,1,36.9145570490581,9
"26",0.75,0.6,1,36.9145570490581,9
"27",0.8,0.6,1,37.6746852439837,9
"28",0.85,0.6,1,35.8559755171818,8
"29",0.9,0.6,1,35.1284105628308,8
"30",0.95,0.6,1,25.5209296383122,6
"31",0.5,0.65,1,33.47167871438,9
"32",0.55,0.65,1,33.47167871438,9
"33",0.6,0.65,1,34.5600823693653,9
"34",0.65,0.65,1,34.5600823693653,9
"35",0.7,0.65,1,37.0869474684175,7
"36",0.75,0.65,1,37.0869474684175,7
"37",0.8,0.65,1,34.9184242215077,7
"38",0.85,0.65,1,33.9230004135024,6
"39",0.9,0.65,1,33.2057873405296,6
"40",0.95,0.65,1,25.5209296383122,6
"41",0.5,0.7,1,31.7075169346638,7
"42",0.55,0.7,1,31.7075169346638,7
"43",0.6,0.7,1,32.7815346154295,7
"44",0.65,0.7,1,32.7815346154295,7
"45",0.7,0.7,1,35.275000877566,5
"46",0.75,0.7,1,35.275000877566,5
"47",0.8,0.7,1,33.1351400845001,5
"48",0.85,0.7,1,32.1528732896801,4
"49",0.9,0.7,1,31.8037917500415,4
"50",0.95,0.7,1,31.4812878282521,4
"51",0.5,0.75,1,31.7075169346638,7
"52",0.55,0.75,1,31.7075169346638,7
"53",0.6,0.75,1,32.7815346154295,7
"54",0.65,0.75,1,32.7815346154295,7
"55",0.7,0.75,1,35.275000877566,5
"56",0.75,0.75,1,35.275000877566,5
"57",0.8,0.75,1,33.1351400845001,5
"58",0.85,0.75,1,32.1528732896801,4
"59",0.9,0.75,1,31.8037917500415,4
"60",0.95,0.75,1,31.4812878282521,4
"61",0.5,0.8,1,33.3115354361505,5
"62",0.55,0.8,1,33.3115354361505,5
"63",0.6,0.8,1,34.3986331921539,5
"64",0.65,0.8,1,34.3986331921539,5
"65",0.7,0.8,1,31.5878226002821,5
"66",0.75,0.8,1,31.5878226002821,5
"67",0.8,0.8,1,29.5062877963599,5
"68",0.85,0.8,1,28.5507945573696,4
"69",0.9,0.8,1,28.2112279012025,4
"70",0.95,0.8,1,27.8975144391954,4
"71",0.5,0.85,1,33.3115354361505,5
"72",0.55,0.85,1,33.3115354361505,5
"73",0.6,0.85,1,34.3986331921539,5
"74",0.65,0.85,1,34.3986331921539,5
"75",0.7,0.85,1,31.5878226002821,5
"76",0.75,0.85,1,31.5878226002821,5
"77",0.8,0.85,1,29.5062877963599,5
"78",0.85,0.85,1,28.5507945573696,4
"79",0.9,0.85,1,28.2112279012025,4
"80",0.95,0.85,1,27.8975144391954,4
"81",0.5,0.9,1,33.3115354361505,5
"82",0.55,0.9,1,33.3115354361505,5
"83",0.6,0.9,1,34.3986331921539,5
"84",0.65,0.9,1,34.3986331921539,5
"85",0.7,0.9,1,31.5878226002821,5
"86",0.75,0.9,1,31.5878226002821,5
"87",0.8,0.9,1,29.5062877963599,5
"88",0.85,0.9,1,28.5507945573696,4
"89",0.9,0.9,1,28.2112279012025,4
"90",0.95,0.9,1,27.8975144391954,4
"91",0.5,0.95,1,34.9248454022579,3
"92",0.55,0.95,1,34.9248454022579,3
"93",0.6,0.95,1,34.9248454022579,3
"94",0.65,0.95,1,34.9248454022579,3
"95",0.7,0.95,1,32.1030296177097,3
"96",0.75,0.95,1,32.1030296177097,3
"97",0.8,0.95,1,30.0133449613406,3
"98",0.85,0.95,1,29.0541106708449,3
"99",0.9,0.95,1,28.7132145062121,3
"100",0.95,0.95,1,28.398272758989,3
"101",0.5,0.5,2,35.9016919810677,3
"102",0.55,0.5,2,35.9016919810677,3
"103",0.6,0.5,2,35.9016919810677,3
"104",0.65,0.5,2,35.9016919810677,3
"105",0.7,0.5,2,31.5053286404967,3
"106",0.75,0.5,2,31.5053286404967,3
"107",0.8,0.5,2,31.5053286404967,3
"108",0.85,0.5,2,31.1579575887008,3
"109",0.9,0.5,2,30.8370339253174,3
"110",0.95,0.5,2,26.6264573599519,3
"111",0.5,0.55,2,35.9016919810677,3
"112",0.55,0.55,2,35.9016919810677,3
"113",0.6,0.55,2,35.9016919810677,3
"114",0.65,0.55,2,35.9016919810677,3
"115",0.7,0.55,2,31.5053286404967,3
"116",0.75,0.55,2,31.5053286404967,3
"117",0.8,0.55,2,31.5053286404967,3
"118",0.85,0.55,2,31.1579575887008,3
"119",0.9,0.55,2,30.8370339253174,3
"120",0.95,0.55,2,26.6264573599519,3
"121",0.5,0.6,2,30.0667963116612,3
"122",0.55,0.6,2,30.0667963116612,3
"123",0.6,0.6,2,30.0667963116612,3
"124",0.65,0.6,2,30.0667963116612,3
"125",0.7,0.6,2,25.8591894246935,3
"126",0.75,0.6,2,25.8591894246935,3
"127",0.8,0.6,2,25.8591894246935,3
"128",0.85,0.6,2,25.5267326378802,3
"129",0.9,0.6,2,25.2195877293187,3
"130",0.95,0.6,2,21.1897909217975,3
"131",0.5,0.65,2,30.0667963116612,3
"132",0.55,0.65,2,30.0667963116612,3
"133",0.6,0.65,2,30.0667963116612,3
"134",0.65,0.65,2,30.0667963116612,3
"135",0.7,0.65,2,25.8591894246935,3
"136",0.75,0.65,2,25.8591894246935,3
"137",0.8,0.65,2,25.8591894246935,3
"138",0.85,0.65,2,25.5267326378802,3
"139",0.9,0.65,2,25.2195877293187,3
"140",0.95,0.65,2,21.1897909217975,3
"141",0.5,0.7,2,30.0667963116612,3
"142",0.55,0.7,2,30.0667963116612,3
"143",0.6,0.7,2,30.0667963116612,3
"144",0.65,0.7,2,30.0667963116612,3
"145",0.7,0.7,2,25.8591894246935,3
"146",0.75,0.7,2,25.8591894246935,3
"147",0.8,0.7,2,25.8591894246935,3
"148",0.85,0.7,2,25.5267326378802,3
"149",0.9,0.7,2,25.2195877293187,3
"150",0.95,0.7,2,21.1897909217975,3
"151",0.5,0.75,2,30.0667963116612,3
"152",0.55,0.75,2,30.0667963116612,3
"153",0.6,0.75,2,30.0667963116612,3
"154",0.65,0.75,2,30.0667963116612,3
"155",0.7,0.75,2,25.8591894246935,3
"156",0.75,0.75,2,25.8591894246935,3
"157",0.8,0.75,2,25.8591894246935,3
"158",0.85,0.75,2,25.5267326378802,3
"159",0.9,0.75,2,25.2195877293187,3
"160",0.95,0.75,2,21.1897909217975,3
"161",0.5,0.8,2,30.0667963116612,3
"162",0.55,0.8,2,30.0667963116612,3
"163",0.6,0.8,2,30.0667963116612,3
"164",0.65,0.8,2,30.0667963116612,3
"165",0.7,0.8,2,25.8591894246935,3
"166",0.75,0.8,2,25.8591894246935,3
"167",0.8,0.8,2,25.8591894246935,3
"168",0.85,0.8,2,25.5267326378802,3
"169",0.9,0.8,2,25.2195877293187,3
"170",0.95,0.8,2,21.1897909217975,3
"171",0.5,0.85,2,30.0667963116612,3
"172",0.55,0.85,2,30.0667963116612,3
"173",0.6,0.85,2,30.0667963116612,3
"174",0.65,0.85,2,30.0667963116612,3
"175",0.7,0.85,2,25.8591894246935,3
"176",0.75,0.85,2,25.8591894246935,3
"177",0.8,0.85,2,25.8591894246935,3
"178",0.85,0.85,2,25.5267326378802,3
"179",0.9,0.85,2,25.2195877293187,3
"180",0.95,0.85,2,21.1897909217975,3
"181",0.5,0.9,2,30.0667963116612,3
"182",0.55,0.9,2,30.0667963116612,3
"183",0.6,0.9,2,30.0667963116612,3
"184",0.65,0.9,2,30.0667963116612,3
"185",0.7,0.9,2,25.8591894246935,3
"186",0.75,0.9,2,25.8591894246935,3
"187",0.8,0.9,2,25.8591894246935,3
"188",0.85,0.9,2,25.5267326378802,3
"189",0.9,0.9,2,25.2195877293187,3
"190",0.95,0.9,2,21.1897909217975,3
"191",0.5,0.95,2,30.0667963116612,3
"192",0.55,0.95,2,30.0667963116612,3
"193",0.6,0.95,2,30.0667963116612,3
"194",0.65,0.95,2,30.0667963116612,3
"195",0.7,0.95,2,25.8591894246935,3
"196",0.75,0.95,2,25.8591894246935,3
"197",0.8,0.95,2,25.8591894246935,3
"198",0.85,0.95,2,25.5267326378802,3
"199",0.9,0.95,2,25.2195877293187,3
"200",0.95,0.95,2,21.1897909217975,3
"201",0.5,0.5,3,34.2935327056361,1
"202",0.55,0.5,3,34.2935327056361,1
"203",0.6,0.5,3,34.2935327056361,1
"204",0.65,0.5,3,34.2935327056361,1
"205",0.7,0.5,3,34.2935327056361,1
"206",0.75,0.5,3,34.2935327056361,1
"207",0.8,0.5,3,34.2935327056361,1
"208",0.85,0.5,3,34.2935327056361,1
"209",0.9,0.5,3,34.2935327056361,1
"210",0.95,0.5,3,30.2997065170106,1
"211",0.5,0.55,3,34.2935327056361,1
"212",0.55,0.55,3,34.2935327056361,1
"213",0.6,0.55,3,34.2935327056361,1
"214",0.65,0.55,3,34.2935327056361,1
"215",0.7,0.55,3,34.2935327056361,1
"216",0.75,0.55,3,34.2935327056361,1
"217",0.8,0.55,3,34.2935327056361,1
"218",0.85,0.55,3,34.2935327056361,1
"219",0.9,0.55,3,34.2935327056361,1
"220",0.95,0.55,3,30.2997065170106,1
"221",0.5,0.6,3,34.2935327056361,1
"222",0.55,0.6,3,34.2935327056361,1
"223",0.6,0.6,3,34.2935327056361,1
"224",0.65,0.6,3,34.2935327056361,1
"225",0.7,0.6,3,34.2935327056361,1
"226",0.75,0.6,3,34.2935327056361,1
"227",0.8,0.6,3,34.2935327056361,1
"228",0.85,0.6,3,34.2935327056361,1
"229",0.9,0.6,3,34.2935327056361,1
"230",0.95,0.6,3,30.2997065170106,1
"231",0.5,0.65,3,34.2935327056361,1
"232",0.55,0.65,3,34.2935327056361,1
"233",0.6,0.65,3,34.2935327056361,1
"234",0.65,0.65,3,34.2935327056361,1
"235",0.7,0.65,3,34.2935327056361,1
"236",0.75,0.65,3,34.2935327056361,1
"237",0.8,0.65,3,34.2935327056361,1
"238",0.85,0.65,3,34.2935327056361,1
"239",0.9,0.65,3,34.2935327056361,1
"240",0.95,0.65,3,30.2997065170106,1
"241",0.5,0.7,3,34.2935327056361,1
"242",0.55,0.7,3,34.2935327056361,1
"243",0.6,0.7,3,34.2935327056361,1
"244",0.65,0.7,3,34.2935327056361,1
"245",0.7,0.7,3,34.2935327056361,1
"246",0.75,0.7,3,34.2935327056361,1
"247",0.8,0.7,3,34.2935327056361,1
"248",0.85,0.7,3,34.2935327056361,1
"249",0.9,0.7,3,34.2935327056361,1
"250",0.95,0.7,3,30.2997065170106,1
"251",0.5,0.75,3,34.2935327056361,1
"252",0.55,0.75,3,34.2935327056361,1
"253",0.6,0.75,3,34.2935327056361,1
"254",0.65,0.75,3,34.2935327056361,1
"255",0.7,0.75,3,34.2935327056361,1
"256",0.75,0.75,3,34.2935327056361,1
"257",0.8,0.75,3,34.2935327056361,1
"258",0.85,0.75,3,34.2935327056361,1
"259",0.9,0.75,3,34.2935327056361,1
"260",0.95,0.75,3,30.2997065170106,1
"261",0.5,0.8,3,34.2935327056361,1
"262",0.55,0.8,3,34.2935327056361,1
"263",0.6,0.8,3,34.2935327056361,1
"264",0.65,0.8,3,34.2935327056361,1
"265",0.7,0.8,3,34.2935327056361,1
"266",0.75,0.8,3,34.2935327056361,1
"267",0.8,0.8,3,34.2935327056361,1
"268",0.85,0.8,3,34.2935327056361,1
"269",0.9,0.8,3,34.2935327056361,1
"270",0.95,0.8,3,30.2997065170106,1
"271",0.5,0.85,3,34.2935327056361,1
"272",0.55,0.85,3,34.2935327056361,1
"273",0.6,0.85,3,34.2935327056361,1
"274",0.65,0.85,3,34.2935327056361,1
